,Dis,Gen
1,-12.229142329272102,-0.49174611498892773
2,-220.22811099781708,-25.88848066329956
3,-324.79975567985986,-74.22817357381184
4,-413.7692596435547,-129.67165883382162
5,-475.492478314568,-156.48554484049478
6,-499.3137257295496,-150.6899617513021
7,-492.27395414464615,-164.30389912923178
8,-498.4863223805147,-164.41167704264322
9,-509.73319989372703,-157.775146484375
10,-512.5156971650965,-128.3625513712565
11,-546.427540139591,-70.59403483072917
12,-558.277455408433,-78.86298116048177
13,-541.0418593462775,-78.98394775390625
14,-549.3883562873392,-107.42997487386067
15,-534.1859256519991,-95.75654856363933
16,-534.3228264303768,-108.2445576985677
17,-518.6424840590533,-102.88147481282552
18,-509.7711292940028,-113.00579833984375
19,-503.5487918629366,-123.21646372477214
20,-485.8902329388787,-107.13009770711263
21,-483.33441198012406,-98.77657572428386
22,-463.00837797277114,-142.1102294921875
23,-464.23347921932447,-150.46808878580728
24,-451.88112039005057,-163.94874064127603
25,-446.49169670553766,-166.8186492919922
26,-440.9507471421186,-161.8864542643229
27,-443.64604204963234,-156.41124471028647
28,-432.6598011690028,-158.83356730143228
29,-416.95818158318014,-168.74468485514322
30,-418.97295711741725,-94.18671417236328
31,-420.93217414407167,-109.06746419270833
32,-422.6751001694623,-145.65939331054688
33,-425.52119499655333,-148.95133463541666
34,-418.413426657284,-188.63947041829428
35,-405.11205228917737,-131.44427235921225
36,-402.33001708984375,-169.66055297851562
37,-395.6846715590533,-123.73914845784505
38,-383.82056202608,-156.57335917154947
39,-370.4006114286535,-163.97588094075522
40,-360.1017657111673,-114.15535163879395
41,-350.7884230669807,-156.03570048014322
42,-347.5013786764706,-168.96383666992188
43,-331.83823744829965,-189.38563028971353
44,-327.8226785098805,-192.80078125
45,-316.3251314051011,-194.91971842447916
46,-314.5739887910731,-174.91544087727866
47,-308.3110491584329,-187.49679565429688
48,-308.2173070571002,-162.10069783528647
49,-302.76311717313877,-199.3140411376953
50,-295.8704352883732,-97.10989379882812
51,-300.4207138959099,-198.91962687174478
52,-302.1513987821691,-181.3511505126953
53,-296.22483215332034,-195.35991923014322
54,-297.62691542681523,-190.78216552734375
55,-297.6317284079159,-188.05420430501303
56,-288.69211336023665,-189.24906412760416
57,-285.59816822725185,-169.60745747884116
58,-278.78023932961855,-180.11822509765625
59,-284.0660576315487,-146.0045598347982
60,-267.6950222239775,-121.2181167602539
61,-276.42244083180145,-203.03963216145834
62,-273.46582821116726,-197.40520731608072
63,-265.50270619111905,-181.21692911783853
64,-277.3206117517808,-205.84169006347656
65,-264.83369804831113,-174.41895039876303
66,-265.4406758027918,-194.12286885579428
67,-261.7355858297909,-160.93778483072916
68,-261.3354233685662,-159.3035634358724
69,-260.81328717400044,-152.70111338297525
70,-245.7291819852941,-136.96489969889322
71,-245.45648911420037,-101.09339650472005
72,-253.5206142649931,-173.52411905924478
73,-249.06710528205423,-156.25939432779947
74,-247.9072421803194,-159.11199696858725
75,-244.81195014504826,-147.66961669921875
76,-239.44834630629595,-122.7438252766927
77,-243.2539541805492,-145.1439463297526
78,-239.30226153205422,-180.5783437093099
79,-237.39388804716222,-127.44351450602214
80,-238.9870942957261,-93.85823313395183
81,-232.72088102452895,-133.52259572347006
82,-234.62991045783548,-144.78267415364584
83,-238.64701358570773,-129.79048665364584
84,-235.99919972139247,-153.97286987304688
85,-240.62085158404182,-159.04015604654947
86,-233.2951265222886,-127.49556477864583
