,Dis,Gen
1,9.887744069099426,-0.00036742837983183563
2,7.77514061331749,-0.03596216067671776
3,-2.813279837369919,-0.49170035123825073
4,-30.43076604604721,-2.7714009284973145
5,-78.6601390838623,-9.645170211791992
6,-131.78484535217285,-24.555213928222656
7,-175.47150659561157,-47.26997375488281
8,-206.5266170501709,-70.6305923461914
9,-227.68648052215576,-87.5721664428711
10,-231.50805854797363,-99.56932067871094
11,-267.4284791946411,-104.67342376708984
12,-275.40998458862305,-119.71737670898438
13,-279.8762903213501,-124.22676849365234
14,-278.91339588165283,-135.89895629882812
15,-275.85399436950684,-135.5202178955078
16,-275.6909341812134,-144.8653106689453
17,-275.93460750579834,-146.1428680419922
18,-274.39409160614014,-141.62831115722656
19,-275.07887268066406,-149.82286071777344
20,-277.35006523132324,-152.18756103515625
21,-279.3097038269043,-152.39198303222656
22,-284.2045421600342,-148.57363891601562
23,-286.47488021850586,-158.036376953125
24,-292.6335792541504,-149.5594024658203
25,-292.4685764312744,-151.57260131835938
26,-291.2591781616211,-146.5703887939453
27,-292.382905960083,-149.09971618652344
28,-293.4875144958496,-152.5993194580078
29,-289.5105495452881,-155.4039306640625
30,-288.1312484741211,-153.39305114746094
31,-287.2644929885864,-161.05355834960938
32,-287.72877311706543,-162.7653045654297
33,-290.7384605407715,-162.2579803466797
34,-284.15319633483887,-164.08096313476562
35,-281.7981986999512,-169.68052673339844
36,-278.8692293167114,-175.29827880859375
37,-276.0518522262573,-174.90113830566406
38,-275.6058769226074,-179.4183807373047
39,-271.92465686798096,-174.3760986328125
40,-268.6410388946533,-172.93495178222656
41,-269.75175857543945,-180.62123107910156
42,-264.9782886505127,-182.52182006835938
43,-262.13204860687256,-181.00027465820312
44,-261.77770042419434,-179.85621643066406
45,-258.5108880996704,-186.76177978515625
46,-256.81530475616455,-184.9537811279297
47,-252.22273445129395,-181.2040252685547
48,-253.24980068206787,-197.78465270996094
49,-254.37542915344238,-189.57073974609375
50,-251.2379150390625,-197.56398010253906
51,-250.79221439361572,-179.05325317382812
52,-251.1243371963501,-174.96714782714844
53,-244.20261764526367,-186.34201049804688
54,-245.4347848892212,-185.12173461914062
55,-243.699481010437,-186.04017639160156
56,-247.67873859405518,-189.8040771484375
57,-245.5171890258789,-198.0198516845703
58,-245.7302541732788,-180.8851776123047
59,-243.46090412139893,-192.4724884033203
60,-240.99770736694336,-189.26527404785156
61,-246.61432456970215,-186.11488342285156
62,-233.13405418395996,-183.95169067382812
63,-238.96215534210205,-194.19879150390625
64,-235.7956371307373,-181.5352325439453
65,-231.97459316253662,-193.81663513183594
66,-233.64503479003906,-194.24163818359375
67,-234.30736351013184,-186.56753540039062
68,-234.08591270446777,-179.39984130859375
69,-228.09058284759521,-189.3482666015625
70,-229.4905605316162,-183.27041625976562
71,-231.23843669891357,-192.38031005859375
72,-224.14977264404297,-195.9380645751953
73,-225.14414596557617,-187.1213836669922
74,-224.15500926971436,-190.94058227539062
75,-224.9491310119629,-196.30416870117188
76,-218.11955738067627,-196.05325317382812
77,-214.95840740203857,-181.62564086914062
78,-219.64166259765625,-192.03871154785156
79,-216.4675521850586,-186.925537109375
80,-212.8434543609619,-195.0478973388672
81,-213.466215133667,-190.86485290527344
82,-213.17532062530518,-197.8485107421875
83,-211.9034423828125,-198.51345825195312
84,-212.3034143447876,-192.36094665527344
85,-209.86598014831543,-189.00393676757812
86,-214.7658748626709,-195.9952392578125
87,-210.67815494537354,-206.6355743408203
88,-206.4955768585205,-190.7000274658203
89,-207.83722400665283,-195.75701904296875
90,-206.40900802612305,-193.71543884277344
91,-206.831636428833,-199.7091064453125
92,-202.73421669006348,-192.20570373535156
93,-204.2861614227295,-205.02635192871094
94,-201.21029376983643,-203.40997314453125
95,-199.06932544708252,-197.25823974609375
96,-199.0178804397583,-201.79905700683594
97,-195.40010261535645,-192.05776977539062
98,-198.04813480377197,-201.65646362304688
99,-200.0168809890747,-192.51914978027344
100,-198.86403846740723,-195.05918884277344
101,-198.41224670410156,-201.84239196777344
102,-198.39733219146729,-206.94659423828125
103,-195.9406042098999,-205.3951416015625
104,-194.1928834915161,-197.32110595703125
105,-192.11882495880127,-200.66835021972656
106,-196.52571487426758,-195.579833984375
107,-197.94542980194092,-184.89039611816406
108,-197.0937204360962,-193.89170837402344
109,-191.34893321990967,-184.08551025390625
110,-199.07510662078857,-201.04115295410156
111,-195.50986671447754,-194.78143310546875
112,-191.14978504180908,-184.7145233154297
113,-197.52974128723145,-195.32435607910156
114,-195.7619924545288,-185.98802185058594
115,-193.15213012695312,-194.44461059570312
116,-188.8923044204712,-190.65980529785156
117,-188.25440788269043,-192.525634765625
118,-187.6279754638672,-199.03033447265625
119,-186.01628589630127,-184.38461303710938
120,-187.29861545562744,-187.59725952148438
121,-185.02057647705078,-190.9626922607422
122,-187.4670705795288,-201.46188354492188
123,-186.5663137435913,-199.44703674316406
124,-190.43037700653076,-188.78048706054688
125,-186.7724094390869,-186.32882690429688
126,-183.32707691192627,-190.93031311035156
127,-184.36941146850586,-180.1248016357422
128,-179.58962440490723,-184.50320434570312
129,-189.543963432312,-192.76687622070312
130,-183.16261196136475,-182.97409057617188
131,-184.36990547180176,-191.8135528564453
132,-179.42805290222168,-184.07830810546875
133,-182.82636165618896,-181.4888916015625
134,-178.6205005645752,-175.97607421875
135,-179.21881484985352,-182.78298950195312
136,-182.38643264770508,-186.36752319335938
137,-174.14319038391113,-178.96273803710938
138,-175.76831150054932,-182.437744140625
139,-173.53365325927734,-175.5393829345703
140,-176.89652156829834,-169.13272094726562
141,-175.9032688140869,-188.76268005371094
142,-174.63237380981445,-173.38128662109375
143,-169.58084964752197,-183.1357421875
144,-171.24818325042725,-165.16690063476562
145,-176.67907905578613,-168.38427734375
146,-171.40886783599854,-166.29457092285156
147,-169.9199743270874,-174.53797912597656
148,-178.4900941848755,-163.24510192871094
149,-177.86557388305664,-169.50592041015625
150,-173.36801052093506,-172.829833984375
151,-169.49338912963867,-171.64093017578125
152,-173.0908784866333,-172.621337890625
153,-165.61028480529785,-169.4444580078125
154,-166.8825330734253,-169.03021240234375
155,-172.9591875076294,-159.90028381347656
156,-167.46753883361816,-177.0711212158203
157,-168.86670112609863,-173.9410400390625
158,-166.30144882202148,-182.18435668945312
159,-171.85349369049072,-172.08966064453125
160,-166.18491554260254,-166.91156005859375
161,-170.59979629516602,-162.1333465576172
162,-160.5572690963745,-173.60704040527344
163,-165.19109344482422,-169.15078735351562
164,-168.42607402801514,-181.55398559570312
165,-164.94269180297852,-176.49900817871094
166,-161.54102993011475,-166.37351989746094
167,-155.90123558044434,-165.42181396484375
168,-162.6464147567749,-161.00799560546875
169,-160.3444118499756,-174.3935546875
170,-161.74413013458252,-166.31541442871094
