,Dis,Gen
1,9.972405978611537,-0.0002160783187719062
2,9.473373889923096,0.004026047419756651
3,6.769881895610264,0.035191524773836136
4,-0.09501041684831892,-0.015447817742824554
5,-11.093761137553624,-0.8399378061294556
6,-22.885181427001953,-3.591549873352051
7,-30.977467400687082,-8.426656723022461
8,-34.835902895246235,-13.99112319946289
9,-38.459567478724885,-16.688934326171875
10,-39.48733874729702,-19.48699188232422
11,-49.191087177821565,-19.454971313476562
12,-56.35162081037249,-21.116750717163086
13,-64.8148558480399,-22.46368980407715
14,-74.09335054670062,-22.738014221191406
15,-82.30856486729213,-24.08453369140625
16,-86.04945373535156,-25.89136505126953
17,-89.66601834978376,-27.999515533447266
18,-91.23190907069615,-30.07596206665039
19,-90.12533678327289,-31.898900985717773
20,-91.74885504586356,-33.4919548034668
21,-92.09925951276507,-36.529781341552734
22,-92.75432968139648,-40.494873046875
23,-94.46307155064174,-42.65519332885742
24,-94.5113138471331,-45.513336181640625
25,-98.33429718017578,-47.76167678833008
26,-99.60953194754464,-51.86022186279297
27,-102.58977018083844,-50.42680358886719
28,-102.93455123901367,-53.311927795410156
29,-104.23228781563895,-52.78125
30,-106.54713494437081,-51.25766372680664
31,-104.7919785635812,-51.738365173339844
32,-106.3641995021275,-52.06739044189453
33,-108.24064799717495,-53.9158821105957
34,-109.32492119925362,-52.20516586303711
35,-107.55922317504883,-51.582740783691406
36,-109.62411063058036,-50.331241607666016
37,-111.63734817504883,-49.964210510253906
38,-112.66803904942104,-47.37688064575195
39,-115.86136845179966,-44.9596061706543
40,-117.68512344360352,-45.82699203491211
41,-117.09958921160016,-44.99565887451172
42,-116.32841546194894,-41.64801025390625
43,-116.07852390834263,-38.472938537597656
44,-118.33110100882394,-37.30908203125
45,-117.80957085745675,-37.21120071411133
46,-120.9142586844308,-39.90385055541992
47,-118.09861973353794,-37.693153381347656
48,-119.50489589146206,-38.34041213989258
49,-115.19115720476422,-38.463191986083984
50,-121.69953210013253,-41.6169548034668
51,-117.5297121320452,-40.66889953613281
52,-114.74624034336635,-43.965972900390625
53,-117.16476167951312,-42.96653747558594
54,-112.39504677908761,-43.88569259643555
55,-115.31928743634906,-42.22842025756836
56,-113.50277927943638,-43.916358947753906
57,-117.16275569370815,-47.80133056640625
58,-110.39145169939313,-45.542335510253906
59,-111.77118519374302,-45.79878234863281
60,-106.10382189069476,-44.00294494628906
61,-111.61442402430943,-47.15357971191406
62,-107.75121089390346,-54.020050048828125
63,-106.42201014927456,-48.58951187133789
64,-106.8364862714495,-48.463260650634766
65,-105.62918799264091,-49.203216552734375
66,-104.81764657156808,-50.6409912109375
67,-106.14340046473912,-50.615234375
68,-103.48904037475586,-53.853668212890625
69,-106.9441272190639,-51.395729064941406
70,-105.87513841901507,-49.57085037231445
71,-107.77028274536133,-53.83250427246094
72,-103.7638408115932,-56.9816780090332
73,-107.51579993111747,-52.57535934448242
74,-104.46438925606864,-49.31190490722656
75,-107.58755220685687,-48.70309829711914
76,-106.04922267368862,-47.38597106933594
77,-109.66345705304828,-45.359901428222656
78,-112.62482506888253,-47.45671081542969
79,-108.98115866524833,-49.84437942504883
80,-111.49243654523578,-44.894229888916016
81,-111.23893247331891,-41.91412353515625
82,-110.09244809831891,-38.61141586303711
83,-108.81732286725726,-40.06645202636719
84,-113.8151136125837,-39.14763641357422
85,-108.77915300641742,-42.45117950439453
86,-109.23475646972656,-45.619422912597656
87,-104.23967742919922,-45.14719009399414
88,-106.98462404523578,-42.36127853393555
