,Dis,Gen
1,9.784423372019893,-0.0004029462579637766
2,5.085934307264245,-0.06633812189102173
3,-19.622542526410975,-0.905072808265686
4,-79.90785781196927,-5.05411434173584
5,-181.32639379086703,-17.152185440063477
6,-289.20820684018344,-42.64879608154297
7,-356.50667074452275,-80.82252502441406
8,-380.6766317616338,-113.94036865234375
9,-399.7051723314368,-122.42225646972656
10,-397.5248704993206,-143.04180908203125
11,-426.7164492399796,-148.45997619628906
12,-440.3790243397588,-175.62451171875
13,-458.5255551545516,-191.7926025390625
14,-477.67900417162025,-190.64871215820312
15,-500.6363233483356,-201.6190185546875
16,-516.226919422979,-204.52090454101562
17,-540.6124095087466,-195.36062622070312
18,-543.7776077933934,-192.65069580078125
19,-554.5507958453635,-177.0908203125
20,-559.4958867612092,-166.1021270751953
21,-555.7123678456182,-160.14068603515625
22,-544.4023517111074,-161.14813232421875
23,-547.9302752950917,-185.20452880859375
24,-560.9151903235394,-192.17271423339844
25,-550.5606437351393,-199.32664489746094
26,-549.0548016092051,-200.41542053222656
27,-539.4671445100204,-210.47561645507812
28,-552.9666907269021,-215.32958984375
29,-545.4098590353261,-221.49136352539062
30,-536.6471743376359,-218.59664916992188
31,-551.0790697180706,-230.478271484375
32,-541.1425502611244,-235.2429962158203
33,-533.4285729449729,-232.154296875
34,-526.3225203804348,-228.64004516601562
35,-526.3867439601732,-232.20997619628906
36,-533.7281242038893,-233.44406127929688
37,-530.4285105829654,-233.827880859375
38,-524.1319420855979,-229.85101318359375
39,-532.8140656844429,-235.3181610107422
40,-523.3102589482846,-238.90696716308594
41,-516.5591165293818,-235.02171325683594
42,-516.0934076723845,-236.121826171875
43,-515.3471852178159,-218.8004608154297
44,-517.5138947860054,-233.15176391601562
45,-520.1452079441236,-247.7601318359375
46,-506.1040662682575,-229.2601776123047
47,-513.451940121858,-240.381103515625
48,-509.14456840183425,-219.80197143554688
49,-518.162234099015,-226.1595916748047
50,-524.0744814665421,-241.12620544433594
51,-511.8932243015455,-228.26638793945312
52,-497.0834854789402,-237.272705078125
53,-509.444615903108,-230.87484741210938
54,-519.21667745839,-226.38717651367188
55,-516.8412449048913,-234.04917907714844
56,-505.67414391559106,-221.01339721679688
57,-514.6802978515625,-222.5791015625
58,-523.3893379543139,-210.34774780273438
59,-524.1230203379755,-221.22970581054688
60,-514.5195829971977,-220.93109130859375
61,-522.0949295707371,-195.03843688964844
62,-514.5935496454654,-205.38888549804688
63,-520.0130402938179,-197.886962890625
